STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,CNTY,C_FSCS,GEOCODE,STARTDAT,ENDDATE,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,CNTYPOP,LOCALE_ADD
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,KENAI PENINSULA,Y,CI1,07/01/2017,06/30/2018,2040,1,0,0,0,0,0.67,0.67,0,13302,0,44594,57896,-9,-9,-9,2796,500,762,4058,-9,51212,0,0,0,0,0,0,18201,0,179,0,3320,0,0,49,49,9,1245,6032,4,1726,11316,2294,0,11316,1744,1744,13060,0,30,60,41,1,642,526,2,8,1495,1182,-1,2018,8,1,0,0,0,58533,43
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,ANCHORAGE,Y,MA1,01/01/2017,12/31/2017,292940,1,4,0,25.15,31.15,45.5,76.65,13348009,41964,85256,86675,13561904,3473603,3031426,6505029,521201,358432,163195,1042828,6167731,13715588,0,0,0,0,0,0,370812,21587,30963,12992,76404,0,14,49,63,7311,11400,723272,54306,135828,1574942,553651,445612,1129330,431171,876783,2006113,2155,1416,1924,838,388,37665,22354,2678,165,126846,90135,754799,2018,8,1,0,0,0,291538,11
AK,AK0003,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,DENALI,Y,CI1,07/01/2017,06/30/2018,267,1,0,0,0,0.5,0.25,0.75,5000,7000,0,2074,14074,-9,-9,-9,4047,220,808,5075,-9,13913,0,0,0,0,0,0,15314,0,201,0,1403,0,0,49,49,0,480,592,300,113,1137,264,0,1137,228,228,1365,0,0,4,2,1,18,6,6,5,225,0,-1,2018,8,2,0,0,0,2059,43
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,BETHEL,Y,CI1,07/01/2017,06/30/2018,6085,1,0,0,0,1,2,3,72600,119600,9500,0,201700,108787,54225,163012,2898,4513,1522,8933,10341,182286,0,0,0,0,0,0,34860,21587,425,12992,3782,0,0,49,49,5,2040,51000,1530,1912,14067,3746,1076,12991,5202,6278,19269,10,28,406,176,41,4329,2582,615,8,6600,5716,-1,2018,8,2,0,0,0,18216,33
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,MATANUSKA-SUSITNA,Y,CO1,07/01/2017,06/30/2018,12742,1,0,0,0,1,2,3,356238,8384,808,0,365430,176371,90918,267289,21993,0,0,21993,66955,356237,0,0,0,0,0,0,28698,21587,2140,12992,3805,0,0,49,49,47,2551,62249,887,2890,36670,15691,7769,28901,10894,18663,47564,77,31,363,134,48,5654,2988,1104,18,15022,8125,-1,2018,8,1,0,0,0,107610,42
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,DENALI,Y,CI1,07/01/2017,06/30/2018,200,1,0,0,0,0.8,0,0.8,4321,7000,7000,4277,22598,-9,-9,-9,4088,320,1000,5408,-9,21004,0,0,0,0,0,0,10376,21587,275,12992,562,0,0,49,49,15,720,2500,390,183,2828,1198,134,2694,196,330,3024,8,25,45,28,5,573,129,74,1,50,95,-1,2018,8,1,0,0,0,2059,43
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,KODIAK ISLAND,N,CI1,07/01/2017,06/30/2018,44,1,0,0,0,0,0,0,3000,7000,1250,0,11250,-9,-9,-9,3783,44,853,4680,-9,7101,0,0,0,0,0,0,2300,21587,0,12992,257,0,0,49,49,18,132,302,0,39,465,301,8,457,500,508,965,0,0,27,18,9,191,171,20,2,75,220,-1,2018,8,2,0,0,0,13345,43
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,ALEUTIANS EAST,Y,CI1,07/01/2017,06/30/2018,62,1,0,0,0,0.25,0,0.25,3700,12040,0,0,15740,-9,-9,-9,1811,0,2858,4669,-9,22675,0,0,0,0,0,0,3226,0,445,0,2673,0,0,49,49,0,400,1080,31,36,121,11,0,121,53,53,174,0,0,5,1,0,40,7,0,4,235,893,-1,2018,8,2,0,0,0,3515,43
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,KENAI PENINSULA,N,CI1,07/01/2017,06/30/2018,263,1,0,0,0,0,0,0,0,7000,1427,15763,24190,-9,-9,-9,4381,0,484,4865,-9,13615,0,0,0,0,0,13394,4163,0,192,0,926,0,0,49,49,1,1092,2452,70,834,2232,772,0,2232,225,225,2457,0,86,11,4,0,99,34,0,4,395,357,-1,2018,8,2,0,0,0,58533,43
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,VALDEZ-CORDOVA,Y,CI1,01/01/2017,12/31/2017,2341,1,0,0,0,3,2,5,674874,9117,0,0,683991,372861,210022,582883,7974,1575,112,9661,35100,627644,0,0,0,0,0,0,17888,21587,560,12992,1200,0,0,49,49,48,2575,20844,1024,2527,14435,4298,3489,10946,2001,5490,16436,0,171,282,175,40,4830,4097,301,6,5357,6997,-1,2018,8,1,0,0,0,9164,43
